name,metric,LSTM_PREPAD_ONEHOT,LSTM_PREPAD_EMBEDDED,LSTM_PREPAD_FREQBASED,LSTM_CONT_ONEHOT,LSTM_CONT_EMBEDDED,LSTM_CONT_FREQBASED,CNN_PREPAD_ONEHOT,CNN_PREPAD_EMBEDDED,CNN_PREPAD_FREQBASED,CNN_CONT_ONEHOT,CNN_CONT_EMBEDDED,CNN_CONT_FREQBASED,DT_PREPAD_ONEHOT,DT_PREPAD_EMBEDDED,DT_PREPAD_FREQBASED,DT_CONT_ONEHOT,DT_CONT_EMBEDDED,DT_CONT_FREQBASED
Helpdesk,Recall,80.07,79.65,78.63,80.02,78.75,78.86,80.2,79.7,79.45,79.74,79.67,79.26,78.69,78.75,77.34,78.95,78.95,78.15
Helpdesk,F1,75.38,74.94,73.71,75.48,74.07,74.13,75.46,74.93,74.71,75.04,74.91,74.55,74.92,74.89,73.86,74.88,74.89,74.3
Helpdesk,Time,266,380,218,92,93,232,326,460,511,319,310,401,0,0,0,0,0,0
Pdc_2021_13,Accuracy,76.97,75.13,53.57,76.83,74.24,67.34,77.46,74.38,78.11,76.69,58.09,76.67,70.78,71.04,71.67,68.2,68.47,69.03
Pdc_2021_13,Precision,74.78,73.93,50.66,74.41,73.66,65.41,76.77,73.1,78.19,74.57,55.21,75.79,77.06,76.46,77.91,75.23,75.35,75.28
Pdc_2021_13,Recall,76.97,75.13,53.57,76.83,74.24,67.34,77.46,74.38,78.11,76.69,58.09,76.67,70.78,71.04,71.67,68.2,68.47,69.03
Pdc_2021_13,F1,73.24,72.14,48.39,73.09,71.08,63.65,74.91,71.1,75.34,73.3,52.44,73.37,71.4,71.54,71.99,68.96,69.23,69.37
Pdc_2021_13,Time,396,549,579,90,135,704,426,552,533,237,200,412,1,7,0,0,1,0
Pdc_2021_11,Accuracy,74.72,75.92,69.24,77.39,74.72,70.96,78.19,76.32,77.78,77.51,62.88,77.34,70.03,68.16,69.4,68.39,70.16,70.65
Pdc_2021_11,Precision,72.09,71.89,66.3,74.33,71.41,68.19,76.12,74.24,77.87,74.32,58.72,74.6,75.59,75.83,76.75,74.0,73.74,75.24
